2,244,"219,20",316
178,181,227,214,311
177,180,243,197,330
177,179,251,209,303
179,180,232,218,305
176,182,244,"219,183",182,251,202,329
177,183,228,210,322
177,183,240,208,325
176,181,239,223,326
181,179,240,220,306
179,183,256,210,305
176,182,249,223,314
180,180,238,221,307
182,180,242,212,307
180,180,238,207,316
177,180,245,199,319
180,183,223,202,323
181,181,253,199,306
179,179,226,216,326
179,183,251,211,305
176,183,248,200,302
177,182,230,209,318
176,183,226,220,302
179,179,244,198,315
180,179,249,219,299
181,179,247,201,306
183,180,229,200,319
178,183,251,212,311
178,180,234,220,311
177,183,239,202,325
181,179,240,202,311
179,180,243,197,322
177,179,249,200,303
181,183,226,219,300
178,180,239,221,310
177,183,249,215,313
183,179,225,204,322
181,181,227,212,319
177,182,226,218,309
180,182,233,215,307
182,180,242,216,306
180,183,226,195,331
183,179,224,214,329
176,182,247,212,314
183,181,234,192,314
180,180,237,210,309
179,181,247,195,327
181,180,239,197,331
176,182,229,194,329
182,180,239,219,320
183,179,226,218,316
176,181,238,217,331
176,182,240,217,326
177,183,242,194,323
182,179,229,214,311
180,181,243,204,322
182,181,239,216,312
183,183,223,204,335
180,179,228,219,316
177,180,233,219,330
176,180,232,217,337
182,182,233,199,328
177,183,239,202,332
177,183,235,213,317
177,180,238,196,333
183,182,231,216,328
183,181,246,200,331
182,181,232,196,322
178,179,226,205,328
183,180,228,201,332
177,183,242,198,334
181,179,234,207,316
178,183,231,216,313
181,183,225,207,331
183,181,242,216,312
182,179,226,215,333
178,180,228,206,333
183,181,236,194,318
179,180,241,205,309
180,180,227,214,312
176,182,226,213,311
183,181,238,217,312
182,184,222,197,334
184,179,225,217,333
176,182,243,220,327
181,179,225,200,326
178,181,246,207,310
177,182,232,211,320
182,180,247,197,335
181,182,232,216,318
176,181,247,200,315
176,183,233,198,331
176,180,236,221,332
176,182,238,221,334
182,180,226,210,332
182,180,230,216,312
176,182,225,222,309
182,180,247,210,316
176,180,244,199,315
177,183,239,204,334
180,182,245,200,309
177,182,246,222,325
177,180,238,220,319
182,180,235,215,311
181,179,236,207,324
179,180,240,199,328
183,181,230,220,324
182,183,234,216,321
176,182,244,215,315
177,180,229,216,332
177,180,232,220,326
179,182,234,208,331
178,181,248,202,329
182,180,250,201,328
182,182,230,221,317
181,183,223,216,321
182,181,224,206,331
178,183,248,211,318
181,179,223,209,332
182,180,226,216,325
178,182,244,199,333
179,179,236,201,330
181,183,227,216,324
176,179,247,212,310
183,179,229,218,322
182,179,223,204,326
181,180,226,200,329
179,180,236,212,315
182,179,236,205,314
178,181,231,207,322
176,182,229,199,333
183,182,228,213,335
180,181,249,198,314
182,180,226,199,327
182,183,247,200,314
178,183,242,196,322
179,182,231,213,324
177,183,234,213,316
177,182,229,203,332
178,179,248,211,309
182,181,250,194,333
179,179,229,217,334
182,182,244,200,309
176,181,244,209,314
179,180,245,203,319
177,182,227,217,316
182,180,243,204,322
179,180,247,209,314
183,182,232,215,323
180,183,238,197,317
183,180,228,197,316
179,183,244,199,317
177,181,247,200,323
182,180,243,198,332
177,182,228,216,317
178,179,245,203,316
179,183,231,198,338
183,179,223,211,335
179,183,251,208,318
176,181,240,218,327
183,180,226,214,326
177,183,241,205,331
176,182,229,213,315
177,183,230,203,334
182,180,236,217,322
182,181,227,216,336
