221,189,182,180
237,217,188,182,180
235,217,188,182,180
232,215,188,182,180
232,2,221,189,182,180
238,221,189,182,180
237,217,188,182,180
235,217,188,182,180
232,215,188,182,180
232,2223,214,184,182,179
220,214,184,182,179
222,217,185,182,180
223,215,184,182,179
219,216,183,182,180
218,217,184,182,179
213,217,184,182,179
214,213,184,182,179
215,213,185,182,179
215,212,186,182,179
214,214,185,182,180
214,211,185,182,180
216,214,185,182,180
218,212,183,182,180
221,214,185,182,180
220,213,185,182,180
221,211,186,182,180
222,212,186,182,180
218,212,186,182,180
220,212,188,182,180
218,210,185,182,180
218,209,188,182,180
214,205,187,182,180
217,207,186,182,180
215,208,185,182,180
216,208,186,182,180
217,208,186,182,180
217,208,186,182,180
218,209,188,182,179
214,210,185,182,180
219,211,187,182,180
214,209,188,182,180
216,210,187,182,180
219,208,187,182,180
221,211,187,182,180
226,210,186,182,180
231,212,186,182,180
232,211,187,181,180
226,210,187,182,180
218,205,190,182,180
211,195,187,182,180
200,190,191,182,180
200,192,189,182,180
189,189,190,182,180
187,189,191,181,180
186,191,192,182,180
187,190,193,181,180
183,190,191,182,180
186,191,192,182,180
187,192,190,182,180
188,190,189,182,180
192,194,189,182,180
195,194,189,182,180
199,197,190,182,180
198,197,190,182,179
201,197,191,182,180
211,200,190,182,180
217,203,189,182,180
243,204,185,182,180
286,214,183,182,180
322,220,184,182,180
341,225,182,182,180
373,240,182,182,180
383,236,181,181,180
375,243,182,182,180
374,245,182,182,180
373,246,182,182,180
371,246,182,182,179
373,241,182,182,180
372,238,182,182,179
366,229,181,182,180
375,228,182,182,180
376,225,181,182,180
361,216,182,182,180
361,215,183,182,180
359,215,182,182,180
347,213,182,182,180
314,213,184,182,180
300,217,185,182,180
303,215,185,182,181
296,215,185,182,180
297,218,184,182,180
295,219,184,182,180
300,222,184,182,180
307,222,184,182,180
311,221,182,182,180
299,217,185,182,179
298,215,185,182,180
293,216,185,182,180
292,217,186,182,180
297,219,185,182,180
295,218,184,182,180
293,220,186,182,180
293,219,185,182,179
291,217,185,182,180
291,221,184,181,180
294,222,183,182,180
288,222,184,182,180
270,222,183,182,180
241,213,185,182,180
240,212,188,182,180
224,208,187,182,180
222,207,187,182,180
220,208,187,182,180
219,212,186,182,180
218,210,185,182,180
216,207,187,182,180
206,207,187,182,180
200,203,188,182,180
200,201,189,182,180
199,203,188,182,180
200,200,188,182,180
205,205,187,181,180
208,204,188,182,180
214,208,186,181,180
218,213,186,182,180
226,215,183,182,180
235,216,182,182,180
235,211,184,182,180
243,215,184,182,180
247,218,184,182,180
252,220,184,182,180
245,217,183,182,180
241,214,183,182,180
230,208,184,182,179
227,206,183,182,180
227,207,186,182,180
231,200,185,182,180
234,204,183,181,180
232,202,185,182,180
237,202,184,182,180
239,204,186,182,179
240,205,185,182,180
239,203,185,182,180
235,203,185,182,180
223,199,188,181,179
215,195,188,182,180
203,194,188,182,180
210,193,186,182,180
212,193,187,182,180
217,196,184,182,180
222,199,185,182,180
226,198,186,182,180
225,198,185,182,180
228,198,187,182,180
229,199,184,182,180
235,199,185,182,180
239,196,185,182,180
249,203,186,182,180
248,197,186,182,180
248,200,187,182,180
244,198,187,182,180
236,199,186,182,180
232,198,185,182,180
222,196,186,182,180
225,195,187,182,180
222,195,187,182,179
227,195,187,182,180
231,196,187,182,180
240,198,186,182,180
245,200,186,182,180
253,198,184,182,180
252,197,187,181,180
247,198,188,182,180
239,195,188,181,180
228,199,189,181,180
219,198,188,182,180
224,199,188,181,180
230,197,189,182,180
233,199,188,182,180
233,199,187,182,180
234,201,187,181,180
231,205,187,182,180
230,205,188,182,180
231,206,187,182,180
236,204,186,182,180
233,207,187,181,180
235,206,186,182,180
238,206,188,182,180
240,208,187,182,180
248,206,188,182,180
254,205,188,182,180
254,203,187,182,180
252,197,189,182,180
248,200,189,182,180
256,205,189,182,180
